13254,,*  16 Per
92791,,* del02 Lyr
38518,,* J Pup
89908,,* phi Dra
114724,,* phi Aqr
102453,,*  52 Cyg
81852,,* bet Aps
68520,,* tau Vir
1599,,* zet Tuc
107259,Erakis,* mu. Cep
79101,,* phi Her
64394,,* bet Com
67153,,* i Cen
93825,,* gam CrA
107533,,* pi.02 Cyg
12770,,* pi. Cet
5372,,*   2 UMi
114855,,* psi01 Aqr
61317,Chara,* bet CVn
80911,,* N Sco
11407,,* kap Eri
60000,,* bet Cha
86565,,* omi Ser
107418,,* nu. Cep
23972,,* lam Eri
70692,,*   5 UMi
21476,,*  58 Per
41075,Alsciaukat,*  31 Lyn
5896,,* kap Tuc
21402,,*  88 Tau
19167,,* lam Per
62896,,* n Cen
19893,,* gam Dor
86170,,* Q Sco
5434,,* phi And
16611,,* tau05 Eri
8198,Torcular,* omi Psc
22783,,* alf Cam
44066,Acubens,* alf Cnc
108917,Kurhah,* ksi Cep
88267,,*  95 Her
15510,,* e Eri
19860,,* mu. Tau
21589,,* c Tau
115830,,* tet Psc
102532,,* gam02 Del
64004,,* ksi02 Cen
21881,,* tau Tau
74911,,* mu. Lup
12828,,* mu. Cet
4906,,* eps Psc
47193,,HD  81817
51172,,* alf Ant
114131,,* tet Gru
85423,,* d Oph
99655,,*  33 Cyg
109410,,* pi. Peg
105515,,* iot Cap
57936,,* bet Hya
16852,,*  10 Tau
77055,,* zet UMi
24845,,* lam Lep
109139,,* iot Aqr
80894,,* phi Oph
116631,,* iot And
111188,,* bet PsA
52154,,* x Vel
17797,,* f Eri
70069,,* v Cen
53417,,*  54 Leo
4577,,* alf Scl
11484,,* ksi02 Cet
56647,,* ups Leo
61174,,* eta Crv
42799,,* eta Hya
101847,,* l Aql
75411,Alkalurops,* mu.01 Boo
78990,,* ome02 Sco
42568,,* d Car
70638,,* del Oct
25945,,* 119 Tau
29696,,* kap Aur
84880,,* nu. Ser
43067,,* D Hya
64241,Diadem,* alf Com
21763,,*  54 Eri
46750,Alterf,* lam Leo
67669,,*   3 Cen
62867,,* e Cen
84405,Guniibuu,*  36 Oph
88866,,* pi. Pav
89826,,* kap Lyr
47175,,* M Vel
92161,,* 111 Her
31125,,* ksi01 CMa
45496,,* g Car
107348,,*   9 Peg
76552,,* ome Lup
111022,,*   5 Lac
5542,,* tet Cas
3031,,* eps And
91971,,* zet01 Lyr
27100,,* del Dor
2912,,* pi. And
85355,,* sig Oph
94713,,* tet Lyr
39794,,* eps Vol
107380,,* iot PsA
85822,Yildun,* del UMi
74857,,* f Lup
90098,,* ksi Pav
22509,,* pi.02 Ori
33449,,*  15 Lyn
31407,,* N Car
60742,,* gam Com
14838,Botein,* del Ari
39863,,* zet Mon
2484,,* bet01 Tuc
16335,,* sig Per
3405,,* eta Phe
96468,,* iot Aql
68862,,* chi Cen
28199,,* gam Col
33347,,* iot CMa
22701,,* ome Eri
24327,,* kap Lep
19038,,*  37 Tau
10324,,* ksi01 Cet
53773,,* i Vel
154,,*  30 Psc
35415,,* tau CMa
29807,,* kap Col
98412,,* tet01 Sgr
64238,,* tet Vir
116231,,* bet Scl
99255,,* kap Cep
27913,,* chi01 Ori
73620,,* 110 Vir
105319,,* tet Ind
17884,,V* BE Cam
39311,,* G CMi
49637,,*  31 Leo
30419,,* eps Mon A
84893,,* ksi Oph
8837,,* psi Phe
96837,,* bet Sge
82673,,* iot Oph
38070,,* omi Pup
108431,,* del Ind
39906,,*  16 Pup
4463,,* eta And
93015,,* kap Pav
114222,,* pi. Cep
105138,,* ups Cyg
115102,,* gam Scl
85693,Maasym,* lam Her
32761,,V* V415 Car
34693,,* tau Gem
53954,,* b Leo
88290,,*  68 Oph
72571,,* E Hya
29038,,* nu. Ori
34922,,* L02 Pup
115623,,* ups Peg
40326,,* h02 Pup
110538,,* bet Lac
17593,,* pi. Eri
19849,Keid,* omi02 Eri
100587,,*  39 Cyg
102281,,* del Del
102624,,* k Aqr
23040,,*   7 Cam
98688,,* c Sgr
94481,Aladfar,* eta Lyr
19921,,* eps Ret
36795,,HD  60532
3786,,* del Psc
21770,,* alf Cae
30060,,*   2 Lyn
71121,,* sig Lup
95771,Anser,* alf Vul
1170,,*   7 Cet
40706,,* q Pup
55084,,* phi Leo
13147,,* bet For
94648,,* tau Dra
52633,,* del02 Cha
24244,,* iot Lep
96229,,* mu. Aql
80975,,* ome Oph
7884,,* nu. Psc
51849,,* r Car
44191,,* w Vel
29426,,* ksi Ori
24331,,* rho Ori
54682,,* bet Crt
44901,,* f UMa
18255,,*  32 Eri
11569,iot Cas AB,* iot Cas
80582,,* eps Nor
104858,,* del Equ
31216,,*  13 Mon
73165,,*  16 Lib
46146,,* kap Leo
38957,,V* V Pup
57803,,* B Cen
15549,,HD  20644
109111,,* lam Gru
12843,,* tau01 Eri
44599,,* G Car
30788,,* lam CMa
23123,,* pi.06 Ori
49641,,* alf Sex
114119,,* c01 Aqr
80343,,* psi Oph
3504,,* omi Cas
113889,,* bet Psc
32578,,*  18 Mon
107310,,* mu. Cyg
104234,,*  24 Cap
38455,,* b Pup
9480,,*  48 Cas
34834,,* I Pup
118322,,* eps Tuc
49593,,*  21 LMi
71762,,* pi.01 Boo
116928,,* lam Psc
116971,,* ome02 Aqr
111944,,*  11 Lac
99874,,*  23 Vul
50676,,* J Vel
109754,,HD 211073
43105,,* f Car
104459,,* nu. Aqr
26594,,* ome Ori
67275,,* tau Boo
27530,,* gam Pic
57565,,*  93 Leo
109285,,* mu. PsA
76852,,* iot Ser
98702,,* rho Dra
102333,,* eta Ind
110838,,* del Tuc
5586,,* tau Psc
47391,,* m Car
1473,,* sig And
117863,,* rho Cas
27483,,* tau Aur
106723,,* eps Cap
46515,,* eps Ant
111104,,*   6 Lac
73745,,* psi Boo
69974,Khambalia,* lam Vir
89112,,* eps Tel
65271,,* J Cen
95176,,* ups Sgr
13061,,*  39 Ari
65387,,* m Cen
106140,,*   2 Peg
102431,,* ups Cep
3881,,* nu. And
114570,,*   7 And
37096,,* f Pup
87072,,V* X Sgr
85365,,*  47 Oph
102589,,* lam Cyg
69483,,* kap02 Boo
28413,,HD  40657
72659,,* ksi Boo
46776,,* tau02 Hya
46952,,*  10 LMi
115919,,*  70 Peg
46977,,* d UMa
24727,,*  16 Aur
74392,,* iot Lib
114144,,*  55 Peg
23595,,* gam Cae
33694,,HD  49878
80079,,* omi Sco
76371,,* d Lup
88839,,HD 165634
110609,,*   4 Lac
110351,,*   2 Lac
301,,*   2 Cet
36425,,*   6 CMi
48402,,* phi UMa
27830,,* 136 Tau
44700,,HD  77912
103004,,*  31 Vul
18597,,* del Ret
54951,,*  72 Leo
104194,,* f02 Cyg
13328,,*  17 Per
86092,,* sig Ara
80473,,* rho Oph
80463,Cujam,* ome Her
16870,,* y Eri
86614,,* psi01 Dra A
97886,,*  13 Vul
92818,,* 113 Her
94005,,* del CrA
48374,,* m Vel
79404,,* c02 Sco
86284,,* mu. Oph
115250,Salm,* tau Peg
3245,,* mu. Phe
117452,,* del Scl
17959,,* gam Cam
50555,,V* GZ Vel
46509,,* tau01 Hya
25473,,* psi02 Ori
54751,,* y Car
